ticker,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
CBK.DE,7,7,0,2026-02-11,2026-02-11,100,MUY ALTA,DAX40
HEIG.DE,4,2,16,2026-02-25,2026-03-13,100,MUY ALTA,DAX40
FRE.DE,6,4,26,2026-03-05,2026-03-31,100,MUY ALTA,DAX40
SIE.DE,4,3,1,2026-03-26,2026-03-27,100,MUY ALTA,DAX40
MTX.DE,7,4,35,2026-02-26,2026-04-02,100,MUY ALTA,DAX40
ADS.DE,3,3,21,2026-03-05,2026-03-26,90,MUY ALTA,DAX40
SHL.DE,3,2,42,2026-02-11,2026-03-25,80,MUY ALTA,DAX40
RHM.DE,3,2,0,2026-02-05,2026-02-05,80,MUY ALTA,DAX40
MUV2.DE,3,2,50,2026-01-20,2026-03-11,80,MUY ALTA,DAX40
BAYN.DE,2,2,20,2026-03-05,2026-03-25,60,MUY ALTA,DAX40
MRK.DE,2,2,0,2026-03-24,2026-03-24,60,MUY ALTA,DAX40
SAP.DE,2,2,1,2026-01-29,2026-01-30,60,MUY ALTA,DAX40
SRT3.DE,2,2,27,2026-02-11,2026-03-10,60,MUY ALTA,DAX40
